loss,acc,recall_1,precision_1,auc_1,true_positives_1,true_negatives_1,false_negatives_1,false_positives_1,val_loss,val_acc,val_recall_1,val_precision_1,val_auc_1,val_true_positives_1,val_true_negatives_1,val_false_negatives_1,val_false_positives_1
0.09964274615049362,0.9576752185821533,0.9576752185821533,0.9576752185821533,0.9938392639160156,10793.0,10793.0,477.0,477.0,2.0105860233306885,0.5039034485816956,0.5039034485816956,0.5039034485816956,0.7499542236328125,1420.0,1420.0,1398.0,1398.0
0.01390005648136139,0.9960958361625671,0.9960958361625671,0.9960958361625671,0.9993120431900024,11226.0,11226.0,44.0,44.0,1.7906137704849243,0.6504613161087036,0.6504613161087036,0.6504613161087036,0.7270614504814148,1833.0,1833.0,985.0,985.0
0.009293293580412865,0.9974268078804016,0.9974268078804016,0.9974268078804016,0.9994382858276367,11241.0,11241.0,29.0,29.0,1.7633795738220215,0.7501774430274963,0.7501774430274963,0.7501774430274963,0.805214524269104,2114.0,2114.0,704.0,704.0
0.005727728363126516,0.9983140826225281,0.9983140826225281,0.9983140826225281,0.9998072385787964,11251.0,11251.0,19.0,19.0,0.12927553057670593,0.9691270589828491,0.9691270589828491,0.9691270589828491,0.9899279475212097,2731.0,2731.0,87.0,87.0
0.0022684603463858366,0.9992014169692993,0.9992014169692993,0.9992014169692993,0.9999092817306519,11261.0,11261.0,9.0,9.0,0.03850388154387474,0.9914833307266235,0.9914833307266235,0.9914833307266235,0.9977754950523376,2794.0,2794.0,24.0,24.0
0.0015144876670092344,0.9995563626289368,0.9995563626289368,0.9995563626289368,0.9999985694885254,11265.0,11265.0,5.0,5.0,0.0022704608272761106,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999984502792358,2817.0,2817.0,1.0,1.0
0.002202661009505391,0.9992901682853699,0.9992901682853699,0.9992901682853699,0.9999096989631653,11262.0,11262.0,8.0,8.0,0.0006675320328213274,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999998807907104,2817.0,2817.0,1.0,1.0
0.013376682996749878,0.9970718622207642,0.9970718622207642,0.9970718622207642,0.9990853667259216,11237.0,11237.0,33.0,33.0,0.0013573317555710673,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999991059303284,2817.0,2817.0,1.0,1.0
0.004539979621767998,0.9989352226257324,0.9989352226257324,0.9989352226257324,0.9998174905776978,11258.0,11258.0,12.0,12.0,1.4032209946890362e-05,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
0.0003420527500566095,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.022253895178437233,0.9936124682426453,0.9936124682426453,0.9936124682426453,0.9981729984283447,2800.0,2800.0,18.0,18.0
0.003595266491174698,0.9991126656532288,0.9991126656532288,0.9991126656532288,0.9998185634613037,11260.0,11260.0,10.0,10.0,0.8696543574333191,0.9226401448249817,0.9226401448249817,0.9226401448249817,0.9343711733818054,2600.0,2600.0,218.0,218.0
0.0020139345433562994,0.9995563626289368,0.9995563626289368,0.9995563626289368,0.9999107718467712,11265.0,11265.0,5.0,5.0,0.24496488273143768,0.9648687243461609,0.9648687243461609,0.9648687243461609,0.9788395762443542,2719.0,2719.0,99.0,99.0
0.0008765352540649474,0.9997338056564331,0.9997338056564331,0.9997338056564331,0.9999995827674866,11267.0,11267.0,3.0,3.0,4.950497627258301,0.640525221824646,0.640525221824646,0.640525221824646,0.6467808485031128,1805.0,1805.0,1013.0,1013.0
0.0024524065665900707,0.9995563626289368,0.9995563626289368,0.9995563626289368,0.9999098181724548,11265.0,11265.0,5.0,5.0,0.09484303742647171,0.983321487903595,0.983321487903595,0.983321487903595,0.9931005835533142,2771.0,2771.0,47.0,47.0
0.0009693429456092417,0.9997338056564331,0.9997338056564331,0.9997338056564331,0.9999995231628418,11267.0,11267.0,3.0,3.0,3.521209478378296,0.7235628366470337,0.7235628366470337,0.7235628366470337,0.7340058088302612,2039.0,2039.0,779.0,779.0
0.016863787546753883,0.9961845874786377,0.9961845874786377,0.9961845874786377,0.9987252950668335,11227.0,11227.0,43.0,43.0,0.0006456099217757583,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999998807907104,2817.0,2817.0,1.0,1.0
0.0019884780049324036,0.9993788599967957,0.9993788599967957,0.9993788599967957,0.9999094009399414,11263.0,11263.0,7.0,7.0,6.0068705352023244e-05,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
0.003982920199632645,0.9989352226257324,0.9989352226257324,0.9989352226257324,0.999816358089447,11258.0,11258.0,12.0,12.0,0.09892439842224121,0.9719659090042114,0.9719659090042114,0.9719659090042114,0.9943031668663025,2739.0,2739.0,79.0,79.0
0.002805751748383045,0.9993788599967957,0.9993788599967957,0.9993788599967957,0.9999079704284668,11263.0,11263.0,7.0,7.0,0.20391176640987396,0.9581263065338135,0.9581263065338135,0.9581263065338135,0.9847973585128784,2700.0,2700.0,118.0,118.0
0.0002478805836290121,1.0,1.0,1.0,1.0000001192092896,11270.0,11270.0,0.0,0.0,0.006415607873350382,0.9978708028793335,0.9978708028793335,0.9978708028793335,0.9996321797370911,2812.0,2812.0,6.0,6.0
0.0005150248180143535,0.9998225569725037,0.9998225569725037,0.9998225569725037,0.9999998211860657,11268.0,11268.0,2.0,2.0,0.0005779741331934929,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999998807907104,2817.0,2817.0,1.0,1.0
0.00019623260595835745,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,1.2658691048272885e-05,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
0.0003064493357669562,0.9998225569725037,0.9998225569725037,0.9998225569725037,0.9999998807907104,11268.0,11268.0,2.0,2.0,0.0025770196225494146,0.9989354014396667,0.9989354014396667,0.9989354014396667,0.9999958872795105,2815.0,2815.0,3.0,3.0
4.133348193136044e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.0025438203010708094,0.9989354014396667,0.9989354014396667,0.9989354014396667,0.9999960660934448,2815.0,2815.0,3.0,3.0
0.0002102567086694762,0.9999112486839294,0.9999112486839294,0.9999112486839294,1.0,11269.0,11269.0,1.0,1.0,0.001927785575389862,0.9992902874946594,0.9992902874946594,0.9992902874946594,0.9999979734420776,2816.0,2816.0,2.0,2.0
0.0005082818679511547,0.9998225569725037,0.9998225569725037,0.9998225569725037,1.0,11268.0,11268.0,2.0,2.0,0.001112242229282856,0.9996451139450073,0.9996451139450073,0.9996451139450073,0.9999996423721313,2817.0,2817.0,1.0,1.0
0.00011561720020836219,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,3.235308395233005e-05,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
5.1357066695345566e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,8.920270033740962e-07,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
1.584217716299463e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,1.0000289876188617e-06,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
3.835352799796965e-06,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,1.3854953522240976e-06,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
0.006475858390331268,0.9988464713096619,0.9988464713096619,0.9988464713096619,0.9996392130851746,11257.0,11257.0,13.0,13.0,6.9790730476379395,0.5308729410171509,0.5308729410171509,0.5308729410171509,0.5317284464836121,1496.0,1496.0,1322.0,1322.0
0.001212171628139913,0.9996450543403625,0.9996450543403625,0.9996450543403625,0.9999990463256836,11266.0,11266.0,4.0,4.0,0.12608861923217773,0.9847409725189209,0.9847409725189209,0.9847409725189209,0.990889310836792,2775.0,2775.0,43.0,43.0
0.0020910853054374456,0.9995563626289368,0.9995563626289368,0.9995563626289368,0.999910295009613,11265.0,11265.0,5.0,5.0,0.7239241003990173,0.9279630780220032,0.9279630780220032,0.9279630780220032,0.9440968036651611,2615.0,2615.0,203.0,203.0
7.763372559566051e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.5739931464195251,0.943222165107727,0.943222165107727,0.943222165107727,0.9559616446495056,2658.0,2658.0,160.0,160.0
1.240937490365468e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.5523465275764465,0.943222165107727,0.943222165107727,0.943222165107727,0.9580228924751282,2658.0,2658.0,160.0,160.0
0.0016390782548114657,0.9997338056564331,0.9997338056564331,0.9997338056564331,0.9998223185539246,11267.0,11267.0,3.0,3.0,2.107320547103882,0.8282470107078552,0.8282470107078552,0.8282470107078552,0.843770444393158,2334.0,2334.0,484.0,484.0
0.014972561970353127,0.9978704452514648,0.9978704452514648,0.9978704452514648,0.9991940259933472,11246.0,11246.0,24.0,24.0,0.12127353996038437,0.989354133605957,0.989354133605957,0.989354133605957,0.9910915493965149,2788.0,2788.0,30.0,30.0
0.0014350500423461199,0.9999112486839294,0.9999112486839294,0.9999112486839294,0.999911367893219,11269.0,11269.0,1.0,1.0,0.4343991279602051,0.9531582593917847,0.9531582593917847,0.9531582593917847,0.9667716026306152,2686.0,2686.0,132.0,132.0
0.004671164322644472,0.999023973941803,0.999023973941803,0.999023973941803,0.9996423721313477,11259.0,11259.0,11.0,11.0,0.7583231925964355,0.9226401448249817,0.9226401448249817,0.9226401448249817,0.9406418204307556,2600.0,2600.0,218.0,218.0
0.0009380252449773252,0.9998225569725037,0.9998225569725037,0.9998225569725037,0.9999111294746399,11268.0,11268.0,2.0,2.0,0.38242706656455994,0.9599006175994873,0.9599006175994873,0.9599006175994873,0.9698712825775146,2705.0,2705.0,113.0,113.0
2.579975625849329e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.3835523724555969,0.9613201022148132,0.9613201022148132,0.9613201022148132,0.969240665435791,2709.0,2709.0,109.0,109.0
0.0003762050182558596,0.9999112486839294,0.9999112486839294,0.9999112486839294,0.9999999403953552,11269.0,11269.0,1.0,1.0,0.24846169352531433,0.9669978618621826,0.9669978618621826,0.9669978618621826,0.9794064164161682,2725.0,2725.0,93.0,93.0
0.00045084673911333084,0.9997338056564331,0.9997338056564331,0.9997338056564331,0.9999998807907104,11267.0,11267.0,3.0,3.0,0.003168286755681038,0.9985805749893188,0.9985805749893188,0.9985805749893188,0.9999972581863403,2814.0,2814.0,4.0,4.0
2.9092248951201327e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.010437891818583012,0.9964513778686523,0.9964513778686523,0.9964513778686523,0.9992641806602478,2808.0,2808.0,10.0,10.0
9.349752508569509e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.003193891840055585,0.9989354014396667,0.9989354014396667,0.9989354014396667,0.9999958276748657,2815.0,2815.0,3.0,3.0
2.7145464628119953e-05,1.0,1.0,1.0,0.9999999403953552,11270.0,11270.0,0.0,0.0,0.0014681998873129487,0.9992902874946594,0.9992902874946594,0.9992902874946594,0.9999989867210388,2816.0,2816.0,2.0,2.0
3.24763786920812e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.001106388634070754,0.9992902874946594,0.9992902874946594,0.9992902874946594,0.9999992251396179,2816.0,2816.0,2.0,2.0
8.781588257988915e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.00025830103550106287,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
1.8040451323031448e-05,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.000251846358878538,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
5.884997449356888e-07,1.0,1.0,1.0,1.0,11270.0,11270.0,0.0,0.0,0.00011778755288105458,1.0,1.0,1.0,1.0,2818.0,2818.0,0.0,0.0
